Date,B1,B2,B3,B4,B5,B6,BB,LC,RH,PD,TMP,TMP2,TMP3
2021-02-09,7,18,21,31,40,9,3,4,83,2906,2021-02-09T22,,
2021-02-05,14,17,28,29,44,2,5,4,45,2889,2021-02-05T22,,
2021-02-02,13,37,38,40,67,10,5,3,54,2891,2021-02-02T22,,
2021-01-29,4,44,58,59,70,3,2,3,49,2916,2021-01-29T22,,
2021-01-26,29,49,56,66,67,24,4,2,87,2889,2021-01-26T22,,
2021-01-22,4,26,42,50,60,24,4,2,60,2896,2021-01-22T22,,
2021-01-19,10,19,26,28,50,16,2,1,64,2921,2021-01-19T22,,
2021-01-15,3,11,12,38,43,15,3,1,35,2867,2021-01-15T22,,
2021-01-12,12,14,26,28,33,9,5,4,86,2911,2021-01-12T22,,
2021-01-08,3,6,16,18,58,11,3,4,79,2893,2021-01-08T22,,
2021-01-05,20,43,51,55,57,4,2,3,60,2903,2021-01-05T22,,
2021-01-01,8,24,53,68,69,7,2,3,90,2893,2021-01-01T22,,
2020-12-29,1,31,35,48,62,19,2,2,64,2923,2020-12-29T22,,
2020-12-25,17,23,36,69,70,19,3,2,45,2907,2020-12-25T22,,
2020-12-22,29,53,56,59,67,21,3,2,49,2914,2020-12-22T22,,
2020-12-18,7,15,25,51,60,5,2,1,60,2926,2020-12-18T22,,
2020-12-15,1,10,18,20,46,15,4,1,68,2897,2020-12-15T22,,
2020-12-11,19,31,37,55,67,25,3,4,66,2900,2020-12-11T22,,
2020-12-08,15,19,33,39,68,25,3,4,72,2902,2020-12-08T22,,
2020-12-04,3,19,24,44,50,8,4,3,76,2897,2020-12-04T22,,
2020-12-01,7,33,53,61,65,14,3,3,66,2912,2020-12-01T22,,
2020-11-27,4,10,27,35,58,10,3,2,64,2896,2020-11-27T22,,
2020-11-24,9,15,34,61,64,6,4,2,57,2916,2020-11-24T22,,
2020-11-20,26,33,45,61,68,17,2,1,77,2931,2020-11-20T22,,
2020-11-17,8,13,35,46,68,16,2,1,36,2930,2020-11-17T22,,
2020-11-13,6,7,14,28,59,7,2,4,62,2904,2020-11-13T22,,
2020-11-10,23,45,53,58,62,13,2,4,93,2889,2020-11-10T22,,
2020-11-06,18,24,27,34,60,2,2,3,73,2914,2020-11-06T22,,
2020-11-03,7,31,44,45,55,19,4,3,64,2921,2020-11-03T22,,
2020-10-30,14,19,34,39,59,11,2,2,74,2911,2020-10-30T22,,
2020-10-27,6,13,34,46,62,1,3,2,87,2904,2020-10-27T22,,
2020-10-23,18,34,44,60,69,22,4,2,81,2897,2020-10-23T22,,
2020-10-20,46,54,57,58,66,10,5,1,76,2909,2020-10-20T22,,
2020-10-16,27,32,50,52,57,12,5,1,59,2913,2020-10-16T22,,
2020-10-13,11,44,45,46,70,25,5,4,67,2895,2020-10-13T22,,
2020-10-09,5,11,25,27,64,13,4,3,93,2902,2020-10-09T22,,
2020-10-06,15,16,18,39,59,17,3,3,84,2900,2020-10-06T22,,
2020-10-02,9,38,47,49,68,25,2,3,62,2903,2020-10-02T22,,
2020-09-29,14,39,43,44,67,19,3,2,90,2888,2020-09-29T22,,
2020-09-25,20,36,37,48,67,16,4,2,87,2893,2020-09-25T22,,
2020-09-22,36,43,44,55,68,12,2,1,68,2903,2020-09-22T22,,
2020-09-18,26,29,41,52,64,11,2,1,71,2896,2020-09-18T22,,
2020-09-15,25,28,38,59,62,22,4,4,73,2903,2020-09-15T22,,
2020-09-11,3,15,42,48,56,13,3,4,76,2895,2020-09-11T22,,
2020-09-08,7,10,15,31,57,21,5,3,64,2900,2020-09-08T22,,
2020-09-04,19,22,24,28,53,25,2,3,74,2905,2020-09-04T22,,
2020-09-01,15,25,26,38,47,22,4,2,85,2892,2020-09-01T22,,
2020-08-28,3,9,50,53,64,1,5,2,88,2885,2020-08-28T22,,
2020-08-25,8,10,15,17,57,12,4,2,90,2903,2020-08-25T22,,
2020-08-21,11,15,31,42,63,14,2,1,87,2885,2020-08-21T22,,
2020-08-18,4,18,26,27,58,23,5,4,82,2882,2020-08-18T22,,
