Date,B1,B2,B3,B4,B5,B6,BB
4/3/2018,4,29,39,42,62,14,3
3/30/2018,11,28,31,46,59,1,3
3/27/2018,7,25,43,56,59,13,4
3/23/2018,4,8,23,53,59,17,2
3/20/2018,14,38,51,64,70,9,2
3/16/2018,1,13,26,33,52,11,4
3/13/2018,6,30,58,60,61,17,4
3/9/2018,7,17,18,46,66,22,4
3/6/2018,1,4,26,35,39,22,3
3/2/2018,24,28,42,60,64,8,4
2/27/2018,10,17,21,38,43,23,3
2/23/2018,7,11,13,19,58,9,2
2/20/2018,17,19,23,24,43,14,3
2/16/2018,14,38,48,53,58,16,5
2/13/2018,5,12,15,46,49,1,2
2/9/2018,28,34,41,46,47,14,2
2/6/2018,14,17,25,48,58,25,5
2/2/2018,1,4,14,17,40,4,2
1/30/2018,29,41,42,49,57,24,2
1/26/2018,10,16,27,38,43,1,5
1/23/2018,2,6,30,31,55,7,3
1/19/2018,3,17,23,49,66,23,3
1/16/2018,3,11,23,29,59,18,3
1/12/2018,17,18,33,46,60,24,5
1/9/2018,16,29,31,65,67,23,5
1/5/2018,28,30,39,59,70,10,2
1/2/2018,1,42,47,64,70,22,2
12/29/2017,4,10,18,28,62,7,5
12/26/2017,10,12,20,38,41,25,5
12/22/2017,1,20,30,33,42,16,4
12/19/2017,28,37,39,42,58,2,4
12/15/2017,4,12,36,44,57,19,2
12/12/2017,8,23,24,25,27,9,4
12/8/2017,6,37,46,60,70,24,4
12/5/2017,14,15,37,42,67,22,2
12/1/2017,16,22,40,41,59,8,3
11/28/2017,10,17,47,51,61,5,2
11/24/2017,16,36,54,61,64,22,2
11/21/2017,3,7,22,27,50,3,2
11/17/2017,3,26,55,58,70,15,4
11/14/2017,1,14,21,22,28,19,3
11/10/2017,6,23,38,42,58,24,5
11/7/2017,1,54,60,68,69,11,5
11/3/2017,10,22,42,61,69,3,4
10/31/2017,6,28,31,52,53,12,3
10/27/2017,17,27,41,51,52,13,3
10/24/2017,20,24,34,56,64,6,2
